Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,DRC,SHF,CCCM,"Improve the living conditions and protection of IDPs in sites and settlements and ensure equitable access to services and assistance of all persons in need, with a clear focus on moving toward attaining durable solutions with full participation of the displaced and host communities",,Mudug,Gaalkacyo,"Najax, Liban 2, Wadataal, Dooxa Mudug. ",Urban,Completed,12 months,15/04/2018,14/04/2019,,
Quarter III,DRC,SHF,CCCM,"The Project intervention supports multiple stakeholders through the dual components of camp coordination with the Cluster and camp management at targeted sites, with the main aim of enhancing coordination of humanitarian response and protection for displaced populations in Bosaso District ",,Bari,Bossaso,"Shabeele-A, Shabele-B, Ajuuran-A, Ajuuran-B, Bahaya IDP (Armo) and Tawakal.",Urban,Ongoing ,12Months,20/12/2018,19/12/2019,,
Quarter III,DRC,SHF,CCCM,"Provide protection centered Integrated humanitarian response in and around IDP settlements in Bari and Sool Regions for the most
vulnerable, aimed at ensuring access to key services through CCCM, Shelter, WASH activities while ensuring that their protection risks are
mitigated.",,Bari,Caluula,"Bayla, Hafun, Habo, Alula, Bareeda, Bargaal",Urban,Ongoing ,12 months,09/10/2018,09/09/2019,,
Quarter III,DRC,SHF,CCCM,"Provide protection centered Integrated humanitarian response in and around IDP settlements in Bari and Sool Regions for the most
vulnerable, aimed at ensuring access to key services through CCCM, Shelter, WASH activities while ensuring that their protection risks are
mitigated.",,Sool,Laas Caanood,"Bocame, Falayryale, Buula-wadal,Buulal, Karin-gorfeed, Har-wanaag",Urban,Ongoing ,12 months,09/10/2018,09/09/2019,,
Quarter III,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Banadir ,Dayniile,"Buulo Shekh (Hadumo, Sool, Hareri, Bulsho, Mudan, Dani, Baalow, Baalfag, Sharaf); 
Saacid (Arabow harawow, Haskun, Timir, Beerey, Zabiib, Caanole); Ceeblaawe (Sucaad, Nuurow, Gumar, Qurac, Farguduudo); Doha Center (Yaasiin, Godimo, Bulalow, Jerow, Suban)",Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Bay,Baidoa,"Barkadle, Degdacar, IRI Roog Win, Raasi, Sirmaqabe, Bula hawa, Kaamir, Qasab-2, Tubaney, Dambal Caalan, Hilaac-2, Bakal Gaduud, Idale Weyn",Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Mudug,Gaalkacyo,"Alla aamin 1, Alla aamin 2, Buloo bacleey, Mustaqbal 1, New Doonyaale, Warshad Galey
",Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,DRC,UNHCR,CCCM,"Support site management and improvement through establishment of accountable and transparent CMCs, support access to services through information management and community feedback, construct multi-purpose social halls, and improve site safety.",,Gedo,Luuq,"Boyle, Hilaac, Waaberi, Horseed, Holwadag, Hero, Kowad, Madina, Kormaray
",Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,DRC,UNHCR,CCCM,"Support site management and improvement through establishment of accountable and transparent CMCs, support access to services through information management and community feedback, construct multi-purpose social halls, and improve site safety.",,Gedo,Belet Xaawo,"Hananley, Sidedad, Qadhow, Qansah-Omane, Tulo amin, Camp ajuran",Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,DRC,SHF,CCCM,"Provide protection centred, live saving integrated (CCCM, Protection, Shelter/NFI and WASH) response to most vulnerable drought and
conflict effected women, boys girls and men living in the IDPs sites of Beletwyene. The intervention will ensure that protection risks are
mitigated and addressed, and targeted communities have access to dignified basic services.",,Hiraan,Belet Weyne,"Doomey, Ex-Airport, Daryeel, Wabi-Shabelle, Budul, Ceynte, Alla-Amin 2, Camp junbur, Tawakal sigalow, Midnimo, Doofil, Rabi-tuug, bilis-diid, buulo-qorax Fatxi.",Urban,Completed,12 months,15/04/2018,14/04/2019,,
Quarter III,DRC,DRC,CCCM,"In order to ensure the quality of women’s engagement, the likelihood of support and buy-in from male counterparts, and the sustainability of the CMCs’ composition well into the future, DRC must understand the specific perceptions and associated barriers to strong and significant participation of displaced women in their community’s governance structures. ",,Bari,Bossaso,IDP sites in Bosaso,urban,Ongoing ,6 months,01/05/2019,31/10/2019,,
Quarter III,DRC,SHF,CCCM,"DRC’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements. as well as Support site management and improvement through establishment of accountable and transparent CMCs, support access to services through information management and community feedback, construct multi-purpose social halls, and improve site safety.",,Gedo,Luuq,IDP sites in Luuq,urban,Ongoing ,9 months,01/07/2019,31/03/2019,,
Quarter III,IOM,OFDA,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baidoa,,,Completed,12 months,01/09/2019,31/08/2020,,
Quarter III,IOM,OFDA,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Ongoing ,12 months,01/09/2019,31/08/2020,,
Quarter III,IOM,OFDA,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismayo,,,Ongoing ,12 months,01/09/2019,31/08/2020,,
Quarter III,IOM,ECHO,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baidoa,,,Ongoing ,18 months,01/07/2018,31/12/2019,,
Quarter III,IOM,ECHO,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Ongoing ,9 months,01/07/2018,31/12/2019,,
Quarter III,IOM,ECHO,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismayo,,,Ongoing ,9 months,01/07/2018,31/12/2019,,
Quarter III,IOM,DFID,CCCM,"Site development of household plots for 1000 HH including drainage, site clearing and topigraphical survey. Relocaiton of 1000 HH at risk of eviction to newly developed site. ",,Bay,Baidoa,,,Completed,9 months,01/07/2019,31/03/2019,,
Quarter III,IOM,Germany,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baidoa,,,Completed,,01/10/2019,30/09/2019,,
Quarter III,IOM,Germany,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismayo,,,Completed,,01/10/2019,30/09/2019,,
Quarter III,IOM,Germany,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Completed,,01/10/2019,30/09/2019,,
Quarter III,IOM,Japan,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baidoa,,,Uspecified,,15/03/2019,14/03/2020,,
Quarter III,IOM,Japan,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismayo,,,Uspecified,,15/03/2019,14/03/2020,,
Quarter III,IOM,Japan,CCCM,"IOM’s CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Uspecified,,15/03/2019,14/03/2020,,
Quarter III,NoFYL,SHF,CCCM,"CCCM response including: Establishing of CCCM structures,Mapping exercise will be conducted to find out the existing resources/infrastructures in the targeted settlements to identify gaps and inform responses in Khaxda and Daynile districts",,Banadir ,Dayniile,"(Deynille) - Al-Hidaya IDP Camp, Kun Deeq, Degan Bille (Kahda) - Sawade, Osingow, Ceel Hareeri, Calanfutow",Urban,Planned ,12 Months,05/05/2019,05/04/2020,,
Quarter III,NoFYL,SHF,CCCM,Establish effective and representative Site governance and for the promotion of IDPs’ participation in decision-making and in the daily life of the Site,,Gedo,Belet Xaawo,"(Beled Amin sections 1, 2,and 3, Lidan, Camp Jiron and Labicat IDP camp)",Urban,Completed,9 Months,16/08/2019,15/05/2020,,
Quarter III,NRC,SHF,CCCM,Construction of  5 Community Centers,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Completed,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,6 Training on CCCM principles to community governance structures,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Completed,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,2 Emergency Sites improvement activities (Planning Tools+Hardcore),,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Planned ,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,2 Site Maintanance Training,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Planned ,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,Conducting Site Verifications in quarterly basis,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Completed,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,Meeting for setting up CCCM coordination structures and other monthly coordination meetings,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Ongoing ,12 Months ,18/12/2018,17/12/2019,,
Quarter III,NRC,SHF,CCCM,Monitor service delivery by establishing roving CCCM teams for monitoring and community engagement,,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",,Completed,12 Months ,18/12/2018,17/12/2019,,
Quarter III,SSWC,UNHCR,CCCM,Cash for work - site maintenance at the 25 targetted IDP camps. ,SSWC,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",URBAN,Ongoing ,12 Months ,01/01/2019,01/12/2019,2.057,45.257
Quarter III,SSWC,SHF,CCCM,"Full CCCM response including: creation of CCCM structures,service mapping,cash for work activities,NFI distribution and ESK creation for both the IDPs and host communities.",SSWC,Banadir ,Dayniile,"Kaxda,Daynile and Dharkinley",Urban,Ongoing ,12 months,20/12/2018,19/12/2019,,
Quarter III,SSWC,Unspecified,CCCM,,SSWC,Mudug,Cadaado,"Daryeel, Badbaado, Hebed, Karama IDP/Camp, Kulmiye",,Ongoing ,,,,,
Quarter III,SSWC,Unspecified,CCCM,,SSWC,Mudug,Dhuusamarreeb,"Xera Military,Hanaano,Badbaado,Abdihakin,Gargaar,Tuulaoog,Dawacoley,Shalxad,Ceel xaamud,Hayaan",,Ongoing ,,,,,
Quarter III,UNHCR,Unspecified,CCCM," UNHCR directly through Amal Bank distributed start-up capital for 200 IDP women ( 10 groups of 20 members each). The second phase of the implementation of a small-business programme for the IDPs started with each group receiving USD 2,000. Business start-up grants for women and girls with previous workable skills but were lacking start-up capital to initiate employable business opportunty have benefited from the project. ",UNHCR,Lower Juba,Afmadow,Dhobley (Danwadag IDP settlements),Urban,Completed,3 days,02/01/2019,03/01/2019,0.40118,41.00119
Quarter III,UNHCR,Unspecified,CCCM,"UNHCR conducted field visits to assess the needs and challenges in IDPs sites in Dhobley particularly new arrivals from Middle Juba districts. The field visit to the IDP settlements for newly displaced populations was also aimed to provide information with partners on the areas that need intervention. 97 families arrived Dhobley for the last 3 weeks due to military activities, drought and lack of livelihood opportunities from some part of Middle Juba which is entirely AS control. ",UNHCR,Lower Juba,Afmadow,"Dhobley( Danwadag, camp Labi, camp Bosnia and Camp Dahirow)",Urban,Completed,3 days,25/03/2019,27/03/2019,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,MORDA,Bay,Baidoa,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,,Mudug,Gaalkacyo,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,SSWC,Banadir ,Dayniile,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,JIRA,Lower Juba,Kismayo,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,DRC,Gedo,Luuq,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,,Nugaal,Garowe,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,,Woqooyi Galbeed,Hargeysa,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,UNHCR,UNHCR,CCCM,CCCM Cluster Sub-National Coordination,,Bari,Bossaso,,,Ongoing ,12 Months,01/01/2019,31/12/2020,,
Quarter III,WISE,UNHCR,CCCM,"WISE will train community leaders and camp management committees on basic camp management, protection, and hygiene issues, and will ensure community leadership structures are representative of all groups, including persons with disabilities, youth, women, and marginalized groups, and establish or strengthen women’s committees in all locations. ",WISE,Mudug,Gaalkacyo,"Hiran2, Daryeel, Elgab, Bulo-not, Bulo-jawan, Camp bantu, Kulmiye in South, Arafat, Alanley, Gurmad, Somaliweyn, Alkharaj, Kulmiye in North, Bakolsare, Bulo-Agon, Samawade1, Waayo-Arag, Waayo-Arag2, Danwadaag",Urban,Ongoing ,2 months,,,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Woqooyi Galbeed,Hargeysa,Hargeysa,,Completed,,01/02/2019,24/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"different Child right violations including domestic, jjj rape and FGM/C were give psychosocail counseling and referral suppory ",CCBRS,Woqooyi Galbeed,Hargeysa,Hargeysa,,Completed,,03/02/2019,25/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,we support and made family teracing with an UASC in to their families and their care givers ,CCBRS,Woqooyi Galbeed,Hargeysa,Hargeysa,,Completed,,06/02/2019,25/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,made medical referral with a number of children suffered who are sick with a poor family ,CCBRS,Woqooyi Galbeed,Hargeysa,Hargeysa,,Completed,,02/02/2019,26/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Awdal,Borama,Borame/ ,,Completed,,02/02/2019,24/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"give psychosocial support for more children affected with a different violations like child labor, Rape, and number of UASC ",CCBRS,Awdal,Borama,Borame,,Completed,,01/02/2019,26/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,made family teracing with Children on the move and UASC ,CCBRS,Awdal,Borama, Borame ,,Completed,,16/02/2019,23/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Togdheer,Burco,Burco ,,Completed,,02/02/2019,24/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"supported Psychosocial counseling and made advocacy to stop some them laboring, and to relaese those conflict with the law, and those are harasment and punshed children ",CCBRS,Togdheer,Burco,Burco ,,Completed,,08/02/2019,20/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,made family teracing with Children on the move and UASC ,CCBRS,Togdheer,Burco,Burco ,,Completed,,06/02/2019,18/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,support for medical referral with a number of sick children and abandoned children ,CCBRS,Togdheer,Burco,Burco ,,Completed,,02/02/2019,20/02/2018,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Sool,Laas Caanood,las-anod,,Completed,,03/02/2019,25/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,support for medical referral with a number of sick children and abandoned children ,CCBRS,Sool,Laas Caanood,las-anod,,Completed,,11/02/2019,23/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Woqooyi Galbeed,Berbera,Berbera,,Completed,,02/02/2019,20/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,support for medical referral with a number of sick children and abandoned children ,CCBRS,Woqooyi Galbeed,Berbera,Berbera,,Completed,,04/02/2019,21/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Mobilization and awarenss raising  of the chilf right violations FGM/C, early marriage , child labor, ",CCBRS,Sanaag,Ceerigaabo,Cerigabo,,Completed,,06/02/2019,17/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,suppor for their medication and support for education fee with three young disabled children,CCBRS,Sanaag,Ceerigaabo,Cerigabo,,Completed,,14/02/2019,22/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Create protective environment to protect children from unlawful recruitment and use of children by armed forces/groups and support reintegration activities for children formerly associated/affected by the armed conflict and those at risk of recruitment,ELMAN,Banadir ,Dayniile,Mogadishu,,Ongoing ,,20/11/2016,20/12/2018,,
Quarter III,SOS,SOS,Protection,Garsoor provide continous training to 80 students in Mohamed mooge center. These students learned formal and non-formal education,GSDO,Woqooyi Galbeed,Hargeysa,Maxamuud Haybe/M. Mooye,,Ongoing ,,29/12/2018,29/12/2018,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Galgaduud,Ceel Buur,Elqooxle/ina-sirat,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Galgaduud,Cadaado,Wabari,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Galgaduud,Dhuusamarreeb,Guri ceel,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Galgaduud,Cabudwaaq,Roob da'ay,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Juba,Kismayo,Dalxiiska,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Juba,Afmadow,Bilis-qoqani,,Ongoing ,,18/04/2018,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Juba,Jamaame,Kamsuma/Turdha,,Ongoing ,,18/04/2018,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Juba,Afmadow,Kalajax/Dhaifo,,Ongoing ,,18/04/2018,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Mudug,Hobyo,Wadajir/Barak-isse,,Ongoing ,,18/04/2018,17/04/2019,,
